tch,mch,tox,ub,vg,e0,e1,e2
2.00E-09,0.02,1.00E-09,3,-1,1.538,4.7403,5.126
2.00E-09,0.02,1.00E-09,3,-0.9,1.438,4.6403,5.026
2.00E-09,0.02,1.00E-09,3,-0.8,1.338,4.5403,4.926
2.00E-09,0.02,1.00E-09,3,-0.7,1.238,4.4403,4.826
2.00E-09,0.02,1.00E-09,3,-0.6,1.138,4.3403,4.726
2.00E-09,0.02,1.00E-09,3,-0.5,1.038,4.2403,4.6259
2.00E-09,0.02,1.00E-09,3,-0.4,0.93796,4.1403,4.5259
2.00E-09,0.02,1.00E-09,3,-0.3,0.83804,4.0404,4.426
2.00E-09,0.02,1.00E-09,3,-0.2,0.73802,3.9403,4.326
2.00E-09,0.02,1.00E-09,3,-0.1,0.63798,3.8403,4.226
2.00E-09,0.02,1.00E-09,3,0,0.53895,3.7413,4.1269
2.00E-09,0.02,1.00E-09,3,0.1,0.43992,3.6422,4.0279
2.00E-09,0.02,1.00E-09,3,0.2,0.33988,3.5422,3.9279
2.00E-09,0.02,1.00E-09,3,0.3,0.23986,3.4422,3.8278
2.00E-09,0.02,1.00E-09,3,0.4,0.13996,3.3423,3.7279
2.00E-09,0.02,1.00E-09,3,0.5,0.040913,3.2429,3.6284
2.00E-09,0.02,1.00E-09,3,0.6,-0.048963,3.1493,3.5333
2.00E-09,0.02,1.00E-09,3,0.7,-0.13153,3.0604,3.4417
2.00E-09,0.02,1.00E-09,3,0.8,-0.21343,2.9719,3.3504
2.00E-09,0.02,1.00E-09,3,0.9,-0.29529,2.8834,3.2591
2.00E-09,0.02,1.00E-09,3,1,-0.37716,2.7949,3.1679
2.00E-09,0.02,1.00E-09,3,1.1,-0.45902,2.7063,3.0766
2.00E-09,0.02,1.00E-09,3,1.2,-0.54089,2.6178,2.9853
2.00E-09,0.02,1.00E-09,3,1.3,-0.62275,2.5291,2.894
2.00E-09,0.02,1.00E-09,3,1.4,-0.70462,2.4405,2.8027
2.00E-09,0.02,1.00E-09,3,1.5,-0.78647,2.3519,2.7114
2.00E-09,0.02,1.00E-09,3,1.6,-0.86834,2.2632,2.6201
2.00E-09,0.02,1.00E-09,3,1.7,-0.95019,2.1745,2.5288
2.00E-09,0.02,1.00E-09,3,1.8,-1.0321,2.0857,2.4374
2.00E-09,0.02,1.00E-09,3,1.9,-1.1139,1.997,2.3461
2.00E-09,0.02,1.00E-09,3,2,-1.1958,1.9082,2.2548
2.00E-09,0.02,1.00E-09,3,2.1,-1.2777,1.8194,2.1634
2.00E-09,0.02,1.00E-09,3,2.2,-1.3595,1.7305,2.0721
2.00E-09,0.02,1.00E-09,3,2.3,-1.4414,1.6417,1.9807
2.00E-09,0.02,1.00E-09,3,2.4,-1.5233,1.5528,1.8893
2.00E-09,0.02,1.00E-09,3,2.5,-1.6052,1.4639,1.798
2.00E-09,0.02,1.00E-09,3,2.6,-1.687,1.3749,1.7067
2.00E-09,0.02,1.00E-09,3,2.7,-1.7689,1.2859,1.6152
2.00E-09,0.02,1.00E-09,3,2.8,-1.8508,1.197,1.5239
2.00E-09,0.02,1.00E-09,3,2.9,-1.9327,1.108,1.4325
2.00E-09,0.02,1.00E-09,3,3,-2.0145,1.0189,1.3411
4.00E-09,0.02,1.00E-09,3,-1,1.256,2.5955,4.8652
4.00E-09,0.02,1.00E-09,3,-0.9,1.156,2.4955,4.7652
4.00E-09,0.02,1.00E-09,3,-0.8,1.056,2.3956,4.6652
4.00E-09,0.02,1.00E-09,3,-0.7,0.95607,2.2956,4.5652
4.00E-09,0.02,1.00E-09,3,-0.6,0.85601,2.1955,4.4651
4.00E-09,0.02,1.00E-09,3,-0.5,0.75599,2.0955,4.3651
4.00E-09,0.02,1.00E-09,3,-0.4,0.656,1.9955,4.2651
4.00E-09,0.02,1.00E-09,3,-0.3,0.55607,1.8956,4.1652
4.00E-09,0.02,1.00E-09,3,-0.2,0.45606,1.7956,4.0652
4.00E-09,0.02,1.00E-09,3,-0.1,0.35601,1.6955,3.9651
4.00E-09,0.02,1.00E-09,3,0,0.25698,1.5965,3.8661
4.00E-09,0.02,1.00E-09,3,0.1,0.15797,1.4975,3.7671
4.00E-09,0.02,1.00E-09,3,0.2,0.058479,1.398,3.6674
4.00E-09,0.02,1.00E-09,3,0.3,-0.032902,1.306,3.5724
4.00E-09,0.02,1.00E-09,3,0.4,-0.11455,1.2231,3.4828
4.00E-09,0.02,1.00E-09,3,0.5,-0.19494,1.1414,3.394
4.00E-09,0.02,1.00E-09,3,0.6,-0.27526,1.0598,3.3052
4.00E-09,0.02,1.00E-09,3,0.7,-0.35557,0.97817,3.2164
4.00E-09,0.02,1.00E-09,3,0.8,-0.43587,0.89654,3.1275
4.00E-09,0.02,1.00E-09,3,0.9,-0.51619,0.81491,3.0386
4.00E-09,0.02,1.00E-09,3,1,-0.5965,0.73327,2.9497
4.00E-09,0.02,1.00E-09,3,1.1,-0.67682,0.65163,2.8607
4.00E-09,0.02,1.00E-09,3,1.2,-0.75715,0.56999,2.7717
4.00E-09,0.02,1.00E-09,3,1.3,-0.83747,0.48834,2.6826
4.00E-09,0.02,1.00E-09,3,1.4,-0.9178,0.40668,2.5935
4.00E-09,0.02,1.00E-09,3,1.5,-0.99812,0.32505,2.5044
4.00E-09,0.02,1.00E-09,3,1.6,-1.0785,0.24339,2.4152
4.00E-09,0.02,1.00E-09,3,1.7,-1.1588,0.16176,2.3261
4.00E-09,0.02,1.00E-09,3,1.8,-1.2389,0.080281,2.2369
4.00E-09,0.02,1.00E-09,3,1.9,-1.3164,0.0014334,2.1494
4.00E-09,0.02,1.00E-09,3,2,-1.3867,-0.070545,2.0658
4.00E-09,0.02,1.00E-09,3,2.1,-1.4545,-0.14016,1.9837
4.00E-09,0.02,1.00E-09,3,2.2,-1.5222,-0.20957,1.9015
4.00E-09,0.02,1.00E-09,3,2.3,-1.5898,-0.27896,1.8193
4.00E-09,0.02,1.00E-09,3,2.4,-1.6575,-0.34837,1.737
4.00E-09,0.02,1.00E-09,3,2.5,-1.7251,-0.41779,1.6546
4.00E-09,0.02,1.00E-09,3,2.6,-1.7928,-0.48721,1.5722
4.00E-09,0.02,1.00E-09,3,2.7,-1.8605,-0.55665,1.4896
4.00E-09,0.02,1.00E-09,3,2.8,-1.9282,-0.62609,1.407
4.00E-09,0.02,1.00E-09,3,2.9,-1.9959,-0.69555,1.3243
4.00E-09,0.02,1.00E-09,3,3,-2.0636,-0.76502,1.2415
6.00E-09,0.02,1.00E-09,3,-1,1.1575,1.8411,3.3156
6.00E-09,0.02,1.00E-09,3,-0.9,1.0575,1.7411,3.2156
6.00E-09,0.02,1.00E-09,3,-0.8,0.95749,1.6412,3.1156
6.00E-09,0.02,1.00E-09,3,-0.7,0.85751,1.5412,3.0156
6.00E-09,0.02,1.00E-09,3,-0.6,0.75746,1.4411,2.9156
6.00E-09,0.02,1.00E-09,3,-0.5,0.65743,1.3411,2.8156
6.00E-09,0.02,1.00E-09,3,-0.4,0.55744,1.2411,2.7156
6.00E-09,0.02,1.00E-09,3,-0.3,0.45752,1.1412,2.6157
6.00E-09,0.02,1.00E-09,3,-0.2,0.3575,1.0412,2.5156
6.00E-09,0.02,1.00E-09,3,-0.1,0.25746,0.94113,2.4156
6.00E-09,0.02,1.00E-09,3,0,0.15843,0.8421,2.3166
6.00E-09,0.02,1.00E-09,3,0.1,0.059987,0.74361,2.2181
6.00E-09,0.02,1.00E-09,3,0.2,-0.030937,0.65196,2.1265
6.00E-09,0.02,1.00E-09,3,0.3,-0.11125,0.57006,2.0447
6.00E-09,0.02,1.00E-09,3,0.4,-0.19014,0.48946,1.9643
6.00E-09,0.02,1.00E-09,3,0.5,-0.26895,0.40895,1.8839
6.00E-09,0.02,1.00E-09,3,0.6,-0.34777,0.32844,1.8035
6.00E-09,0.02,1.00E-09,3,0.7,-0.42658,0.24794,1.7232
6.00E-09,0.02,1.00E-09,3,0.8,-0.5054,0.16744,1.6428
6.00E-09,0.02,1.00E-09,3,0.9,-0.58407,0.087074,1.5626
6.00E-09,0.02,1.00E-09,3,1,-0.66044,0.0089442,1.4846
6.00E-09,0.02,1.00E-09,3,1.1,-0.7295,-0.062133,1.4134
6.00E-09,0.02,1.00E-09,3,1.2,-0.79551,-0.13026,1.3452
6.00E-09,0.02,1.00E-09,3,1.3,-0.86122,-0.19808,1.2772
6.00E-09,0.02,1.00E-09,3,1.4,-0.92692,-0.26588,1.2092
6.00E-09,0.02,1.00E-09,3,1.5,-0.99263,-0.33369,1.1413
