tox,Lg,Vds,Vgs,Id
0.5,50,0,0,4.58E-16
0.5,50,0,0.1,-1.59E-16
0.5,50,0,0.2,-7.75E-16
0.5,50,0,0.3,-3.70E-16
0.5,50,0,0.4,-4.05E-16
0.5,50,0,0.5,-1.22E-15
0.5,50,0,0.6,-1.59E-16
0.5,50,0,0.7,1.06E-16
0.5,50,0,0.8,9.01E-17
0.5,50,0,0.9,-5.28E-17
0.5,50,0,1,-3.35E-16
0.5,50,0,1.1,1.25E-15
0.5,50,0,1.2,-4.93E-16
0.5,50,0,1.3,1.13E-15
0.5,50,0,1.4,1.39E-15
0.5,50,0,1.5,1.32E-15
0.5,50,0,1.6,3.52E-16
0.5,50,0,1.7,-1.11E-15
0.5,50,0,1.8,1.02E-15
0.5,50,0,1.9,-8.98E-16
0.5,50,0,2,-4.58E-16
0.5,50,0.05,0,8.85E-08
0.5,50,0.05,0.1,1.65E-07
0.5,50,0.05,0.2,3.69E-07
0.5,50,0.05,0.3,1.08E-06
0.5,50,0.05,0.4,4.47E-06
0.5,50,0.05,0.5,2.31E-05
0.5,50,0.05,0.6,6.79E-05
0.5,50,0.05,0.7,7.99E-05
0.5,50,0.05,0.8,8.74E-05
0.5,50,0.05,0.9,9.23E-05
0.5,50,0.05,1,9.54E-05
0.5,50,0.05,1.1,9.75E-05
0.5,50,0.05,1.2,9.90E-05
0.5,50,0.05,1.3,0.000100089
0.5,50,0.05,1.4,0.000100903
0.5,50,0.05,1.5,0.000101529
0.5,50,0.05,1.6,0.000101995
0.5,50,0.05,1.7,0.000102315
0.5,50,0.05,1.8,0.000102515
0.5,50,0.05,1.9,0.000102648
0.5,50,0.05,2,0.000102777
0.5,50,0.1,0,3.84E-07
0.5,50,0.1,0.1,6.67E-07
0.5,50,0.1,0.2,1.34E-06
0.5,50,0.1,0.3,3.31E-06
0.5,50,0.1,0.4,1.04E-05
0.5,50,0.1,0.5,3.93E-05
0.5,50,0.1,0.6,0.000129603
0.5,50,0.1,0.7,0.000164769
0.5,50,0.1,0.8,0.000174827
0.5,50,0.1,0.9,0.000184349
0.5,50,0.1,1,0.000190439
0.5,50,0.1,1.1,0.000194498
0.5,50,0.1,1.2,0.000197383
0.5,50,0.1,1.3,0.000199546
0.5,50,0.1,1.4,0.000201241
0.5,50,0.1,1.5,0.000202617
0.5,50,0.1,1.6,0.000203765
0.5,50,0.1,1.7,0.000204743
0.5,50,0.1,1.8,0.000205593
0.5,50,0.1,1.9,0.000206341
0.5,50,0.1,2,0.000207009
0.5,50,0.15,0,1.43E-06
0.5,50,0.15,0.1,2.31E-06
0.5,50,0.15,0.2,4.16E-06
0.5,50,0.15,0.3,8.63E-06
0.5,50,0.15,0.4,2.09E-05
0.5,50,0.15,0.5,5.83E-05
0.5,50,0.15,0.6,0.000184937
0.5,50,0.15,0.7,0.000245926
0.5,50,0.15,0.8,0.000268722
0.5,50,0.15,0.9,0.000280501
0.5,50,0.15,1,0.000289034
0.5,50,0.15,1.1,0.000294841
0.5,50,0.15,1.2,0.000298996
0.5,50,0.15,1.3,0.000302131
0.5,50,0.15,1.4,0.000304603
0.5,50,0.15,1.5,0.000306625
0.5,50,0.15,1.6,0.000308325
0.5,50,0.15,1.7,0.000309787
0.5,50,0.15,1.8,0.000311067
0.5,50,0.15,1.9,0.000312204
0.5,50,0.15,2,0.000313227
0.5,50,0.2,0,4.62E-06
0.5,50,0.2,0.1,6.94E-06
0.5,50,0.2,0.2,1.12E-05
0.5,50,0.2,0.3,1.98E-05
0.5,50,0.2,0.4,3.86E-05
0.5,50,0.2,0.5,8.34E-05
0.5,50,0.2,0.6,0.000220315
0.5,50,0.2,0.7,0.000339186
0.5,50,0.2,0.8,0.000378187
0.5,50,0.2,0.9,0.00038587
0.5,50,0.2,1,0.000395231
0.5,50,0.2,1.1,0.000402236
0.5,50,0.2,1.2,0.000407413
0.5,50,0.2,1.3,0.000411386
0.5,50,0.2,1.4,0.000414564
0.5,50,0.2,1.5,0.000417193
0.5,50,0.2,1.6,0.000419427
0.5,50,0.2,1.7,0.000421368
0.5,50,0.2,1.8,0.000423082
0.5,50,0.2,1.9,0.000424617
0.5,50,0.2,2,0.000426008
0.5,50,0.25,0,1.30E-05
0.5,50,0.25,0.1,1.80E-05
0.5,50,0.25,0.2,2.63E-05
0.5,50,0.25,0.3,4.03E-05
0.5,50,0.25,0.4,6.56E-05
0.5,50,0.25,0.5,0.000116507
0.5,50,0.25,0.6,0.000254234
0.5,50,0.25,0.7,0.000425199
0.5,50,0.25,0.8,0.000487291
0.5,50,0.25,0.9,0.000506168
0.5,50,0.25,1,0.000512735
0.5,50,0.25,1.1,0.000519462
0.5,50,0.25,1.2,0.000524994
0.5,50,0.25,1.3,0.000529443
0.5,50,0.25,1.4,0.000533103
0.5,50,0.25,1.5,0.000536189
0.5,50,0.25,1.6,0.000538857
0.5,50,0.25,1.7,0.000541201
0.5,50,0.25,1.8,0.000543295
0.5,50,0.25,1.9,0.000545188
0.5,50,0.25,2,0.000546916
0.5,50,0.3,0,3.08E-05
0.5,50,0.3,0.1,3.99E-05
0.5,50,0.3,0.2,5.31E-05
0.5,50,0.3,0.3,7.31E-05
0.5,50,0.3,0.4,0.000104701
0.5,50,0.3,0.5,0.000159938
0.5,50,0.3,0.6,0.000292298
0.5,50,0.3,0.7,0.000516812
0.5,50,0.3,0.8,0.000580233
0.5,50,0.3,0.9,0.000634936
0.5,50,0.3,1,0.000643534
0.5,50,0.3,1.1,0.000649528
0.5,50,0.3,1.2,0.000653935
0.5,50,0.3,1.3,0.000658022
0.5,50,0.3,1.4,0.000661655
0.5,50,0.3,1.5,0.000664856
0.5,50,0.3,1.6,0.000667699
0.5,50,0.3,1.7,0.000670254
0.5,50,0.3,1.8,0.000672573
0.5,50,0.3,1.9,0.0006747
0.5,50,0.3,2,0.000676662
0.5,50,0.35,0,4.37E-05
0.5,50,0.35,0.1,5.63E-05
0.5,50,0.35,0.2,7.48E-05
0.5,50,0.35,0.3,0.000102965
0.5,50,0.35,0.4,0.00014755
0.5,50,0.35,0.5,0.000214698
0.5,50,0.35,0.6,0.000339541
0.5,50,0.35,0.7,0.00059621
0.5,50,0.35,0.8,0.000710746
0.5,50,0.35,0.9,0.000758954
0.5,50,0.35,1,0.000779709
0.5,50,0.35,1.1,0.000789665
0.5,50,0.35,1.2,0.000794259
0.5,50,0.35,1.3,0.000799203
0.5,50,0.35,1.4,0.000802314
0.5,50,0.35,1.5,0.000804919
0.5,50,0.35,1.6,0.000807415
0.5,50,0.35,1.7,0.000809773
0.5,50,0.35,1.8,0.000811991
0.5,50,0.35,1.9,0.000814081
0.5,50,0.35,2,0.000816048
0.5,50,0.4,0,5.99E-05
0.5,50,0.4,0.1,7.50E-05
0.5,50,0.4,0.2,9.61E-05
0.5,50,0.4,0.3,0.000126305
0.5,50,0.4,0.4,0.00017135
0.5,50,0.4,0.5,0.000244174
0.5,50,0.4,0.55,0.000301689
0.5,50,0.4,0.6,0.000391442
0.5,50,0.4,0.7,0.000658003
0.5,50,0.4,0.8,0.000807209
0.5,50,0.4,0.9,0.000866034
0.5,50,0.4,1,0.00091264
0.5,50,0.4,1.1,0.000928625
0.5,50,0.4,1.2,0.000939078
0.5,50,0.4,1.3,0.000945378
0.5,50,0.4,1.4,0.000950473
0.5,50,0.4,1.5,0.000953505
0.5,50,0.4,1.6,0.000956513
0.5,50,0.4,1.7,0.000959397
0.5,50,0.4,1.8,0.000962134
0.5,50,0.4,1.9,0.000964723
0.5,50,0.4,2,0.00096663
0.5,50,0.45,0,8.38E-05
0.5,50,0.45,0.1,0.000102305
0.5,50,0.45,0.2,0.000126984
0.5,50,0.45,0.3,0.000160716
0.5,50,0.45,0.4,0.000208499
0.5,50,0.45,0.5,0.000281346
0.5,50,0.45,0.6,0.000418551
0.5,50,0.45,0.7,0.00072546
0.5,50,0.45,0.8,0.000927534
0.5,50,0.45,0.9,0.00099507
0.5,50,0.45,1,0.001046954
0.5,50,0.45,1.1,0.001067436
0.5,50,0.45,1.2,0.001082374
0.5,50,0.45,1.3,0.001090774
0.5,50,0.45,1.4,0.001098872
0.5,50,0.45,1.5,0.001104404
